HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458745.90524,2019-09-19.4025846,bA,2.07,15.116,10.743,0.008,183.089,1.289,g
2458752.86849,2019-09-26.3654950,bA,2.02,15.405,10.734,0.007,184.742,1.122,g
2458752.86977,2019-09-26.3667788,bA,2.01,15.430,10.748,0.005,182.292,0.888,g
2458752.87106,2019-09-26.3680658,bA,2.02,15.403,10.749,0.007,182.241,1.110,g
2458753.88358,2019-09-27.3805333,bA,2.03,15.426,10.754,0.007,181.339,1.114,g
2458753.88487,2019-09-27.3818234,bA,2.02,15.408,10.726,0.006,186.192,1.101,g
2458753.88617,2019-09-27.3831211,bA,2.03,15.431,10.768,0.006,178.952,1.055,g
2458755.86982,2019-09-29.3666950,bA,2.04,15.475,10.870,0.005,162.994,0.772,g
2458755.87111,2019-09-29.3679818,bA,2.02,15.453,10.882,0.007,161.099,0.985,g
2458755.87240,2019-09-29.3692712,bA,2.04,15.462,10.863,0.007,164.045,1.003,g
2458758.82614,2019-10-02.3228806,bq,1.57,15.001,10.705,0.007,189.736,1.175,g
2458758.82735,2019-10-02.3240929,bq,1.52,15.035,10.700,0.007,190.477,1.239,g
2458758.82857,2019-10-02.3253100,bq,1.58,15.037,10.709,0.006,188.959,0.999,g
2458760.74550,2019-10-04.2421664,bq,1.99,15.033,10.748,0.009,182.321,1.471,g
2458760.74672,2019-10-04.2433835,bq,1.98,15.029,10.763,0.008,179.813,1.408,g
2458760.74793,2019-10-04.2446031,bq,1.67,15.033,10.752,0.007,181.656,1.230,g
2458761.85059,2019-10-05.3472130,bq,1.57,99.990,99.990,99.990,99.990,99.990,g
2458761.85180,2019-10-05.3484236,bq,1.49,99.990,99.990,99.990,99.990,99.990,g
2458761.85301,2019-10-05.3496400,bq,1.60,99.990,99.990,99.990,99.990,99.990,g
2458762.90985,2019-10-06.4064380,bq,1.50,15.108,10.741,0.006,183.433,1.009,g
2458762.91106,2019-10-06.4076443,bq,1.42,15.097,10.735,0.006,184.403,0.998,g
2458762.91228,2019-10-06.4088674,bq,1.52,15.102,10.747,0.006,182.488,1.035,g
2458764.95658,2019-10-08.4530856,bA,2.02,15.369,10.703,0.006,190.071,1.101,g
2458764.95787,2019-10-08.4543778,bA,2.03,15.419,10.773,0.007,178.112,1.109,g
2458764.95916,2019-10-08.4556670,bA,2.03,15.423,10.784,0.007,176.345,1.108,g
2458765.98594,2019-10-09.4824175,bA,2.05,15.392,10.841,0.005,167.233,0.864,g
2458765.98724,2019-10-09.4837148,bA,2.07,15.417,10.849,0.007,166.201,1.047,g
2458765.98852,2019-10-09.4849951,bA,2.05,15.421,10.820,0.006,170.692,1.012,g
2458767.73663,2019-10-11.2330403,bq,1.45,15.106,10.857,0.006,164.947,0.989,g
2458767.73784,2019-10-11.2342581,bq,1.56,15.091,10.861,0.006,164.387,0.993,g
2458767.73906,2019-10-11.2354741,bq,1.55,15.121,10.909,0.006,157.171,0.933,g
2458769.01171,2019-10-12.5080949,bA,2.30,14.993,10.738,0.007,184.054,1.276,g
2458769.01430,2019-10-12.5106788,bA,2.01,15.126,10.718,0.008,187.286,1.291,g
